task,target,model,train_rows,test_rows,test_year,metric_primary,roc_auc,accuracy,baseline_accuracy,mae,rmse,r2,spearman,baseline_mae
classification,outperformed_252d,logistic_regression,2226,1397,2023,roc_auc,0.5137261270624919,0.5404438081603435,0.3843951324266285,,,,,
classification,outperformed_252d,random_forest_classifier,2226,1397,2023,roc_auc,0.4906435407734615,0.4824624194702935,0.3843951324266285,,,,,
excess_return_regression,excess_return_252d,ridge_regression,2226,1397,2023,mae,,,,0.28925642169663507,0.449297454032279,-0.02003965479354841,-0.019013333412455705,0.2883728460000665
excess_return_regression,excess_return_252d,random_forest_regressor,2226,1397,2023,mae,,,,0.2919253225922782,0.4517166405316437,-0.031053781675019154,-0.05440807833297082,0.2883728460000665
volatility_regression,realized_volatility_252d,ridge_regression,2226,1397,2023,mae,,,,0.1041909480781824,0.12885618277511074,-0.17568576342400033,0.012336014136124103,0.09571319491339297
volatility_regression,realized_volatility_252d,random_forest_regressor,2226,1397,2023,mae,,,,0.10104326257480513,0.12493909328482976,-0.10529304068487932,0.1318829898851942,0.09571319491339297
